nama,alamat
SMP Negeri 236 Jakarta,"Jl. Raya Penggilingan (Komplek PIK), Penggilingan, Kec. Cakung, Kota Jakarta Timur"
SMP Negeri 24 Jakarta,"Jl. Dukuh V, Dukuh, Kec. Kramat Jati, Kota Jakarta Timur"
SMP Negeri 25 Jakarta,"Jl. BB I, Cipinang Muara, Kec. Jatinegara, Kota Jakarta Timur"
SMP Negeri 252 Jakarta,"Jl. H. Naman No. 67, RT 002/RW 002, Pondok Kelapa, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 27 Jakarta,"Jl. Lingkar Timur Duren Sawit No. 14, Komplek PTB, Klender, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 270 Jakarta,"Jl. Kompi Udin, Pegangsaan Dua, Kec. Kelapa Gading, Kota Jakarta Utara"
SMP Negeri 280 Jakarta,"Jl. Cilacap No. 5, Menteng, Kec. Menteng, Kota Jakarta Pusat"
SMP Negeri 3 Jakarta,"Jl. Manggarai Utara VII No. 6, Manggarai, Kec. Tebet, Kota Jakarta Selatan"
SMP Negeri 30 Jakarta,"Jl. Anggrek No. 4, RW 012, Rawabadak Utara, Kec. Koja, Kota Jakarta Utara"
SMP Negeri 4 Jakarta,"Jl. Perwira No. 10, Pasar Baru, Kec. Sawah Besar, Kota Jakarta Pusat"
SMP Negeri 44 Jakarta,"Jl. Gading Raya II, RT 006/RW 010, Pisangan Timur, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Negeri 49 Jakarta,"Jl. Raya Bogor Km. 20, Kramat Jati, Kec. Kramat Jati, Kota Jakarta Timur"
SMP Negeri 5 Jakarta,"Jl. Dr. Sutomo No. 5, Pasar Baru, Kec. Sawah Besar, Kota Jakarta Pusat"
SMP Negeri 51 Jakarta,"Jl. Kejaksaan Raya Kavling No. 2, Pondok Bambu, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 52 Jakarta,"Jl. Cipinang Elok II, Cipinang Muara, Kec. Jatinegara, Kota Jakarta Timur"
SMP Negeri 6 Jakarta,"Jl. Bulak Timur I No. 7, Klender, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Negeri 7 Jakarta,"Jl. Balai Rakyat, Utan Kayu Utara, Kec. Matraman, Kota Jakarta Timur"
SMP Negeri 7 Tambun Selatan,"Perum. Graha Prima Blok E, Mangunjaya, Kec. Tambun Selatan"
SMP Negeri 74 Jakarta,"Jl. Pemuda No. 6, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Negeri 8 Jakarta,"Jl. Pegambiran No. 24, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Negeri 80 Jakarta,"Jl. Trikora, Halim Perdana Kusuma, Kec. Makasar, Kota Jakarta Timur"
SMP Negeri 81 Jakarta,"Jl. Monumen Pancasila Sakti, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur"
SMP Negeri 9 Jakarta,"Jl. Usman No. 6, Kelapa Dua Wetan, Kec. Ciracas, Kota Jakarta Timur"
SMP Negeri 90 Jakarta,"Jl. Penggilingan, RT 004/RW 003, Cakung Barat, Kec. Cakung, Kota Jakarta Timur"
SMP Negeri 92 Jakarta,"Jl. Perhubungan XII, Jati, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Negeri 95 Jakarta,"Jl. Ganggeng III No. 3, RT 004/RW 001, Sungai Bambu, Kec. Tanjung Priok, Kota Jakarta Utara"
SMP Negeri 99 Jakarta,"Jl. Sirap, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur"
SMP Nur Azkia,"Jl. Raya Tamansari, Ds. Sukaluyu, Kec. Tamansari, Kab. Bogor"
SMP Nuris Jakarta,"jalan mawar merah raya nomor 1 perumnas klender"
SMP Nurul Ihsan,"Jl. Kampung Pisangan No. 12, RT 003/RW 003, Penggilingan, Kec. Cakung"
SMP PGRI 38 Jakarta,"Jl. Rawa Kuning No. 119, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur"
SMP Pendidikan Diniyah,"Tipar Cibolangkaler, Kec. Cisaat"
SMP Perguruan Rakyat,"Jl. Warung Buncit Raya No. 31, Kalibata, Kec. Pancoran, Kota Jakarta Selatan"
SMP Perguruan Rakyat 3,"Jl. Pahlawan Revolusi No. 22, Pondok Bambu, Kec. Duren Sawit, Kota Jakarta Timur"
SMP Santa Ursula,"Jl. Pos No. 2, Pasar Baru, Kec. Sawah Besar, Kota Jakarta Pusat"
SMP Santo Markus,"Jl. Kelapa Gading III, Kramat Jati, Kec. Kramat Jati, Jakarta Timur"
SMP Tahfidz Sahabat Teladan,"JL. RAYA NANGGERANG Ds. NANGGERANG Kec. TAJURHALANG, BOGOR"
SMP YP IPPI,"JL. UJUNG KRAWANG RT.006/RW.005, KEL. PULO GEBANG, KEC. CAKUNG"
SMP YPI Pulo Gadung,"jalan raya bekasi km.18"
SMP Yaspia Jakarta,"Jl. Raya Penggilingan No. 22, RT 001/RW 007, Penggilingan, Kec. Cakung"
SMPIT Al-Falah,"Pasir bentik RT01 RW 01 Desa bojong galing kecamatan bojong genteng kabupaten sukabumi"
SMPN 255 Jakarta,"Jl. Raden Inten II No. 9, RT.1/RW.14, Duren Sawit, Kec. Duren Sawit, Kota Jakarta Timur, DKI Jakarta 13440"
SMPN 54 Bekasi,"Jalan Anggrek Raya RT09 RW 07"
SMPS Nurul Hidayah,"Jl. Kampung Baru No. 17, RT 007/RW 007, Kelapa Dua Wetan, Kec. Ciracas"
